Category,Size,Installs,Minimum Android,Rating Count,Rating
Adventure,10M,10+,7.1 and up,0,0
Tools,2.9M,"5,000+",5.0 and up,64,4.4
Productivity,3.7M,50+,4.0.3 and up,0,0
Communication,1.8M,10+,4.0.3 and up,5,5
Tools,6.2M,100+,4.1 and up,0,0
Social,46M,50+,6.0 and up,0,0
Libraries & Demo,2.5M,"1,000+",4.1 and up,12,4.5
Lifestyle,16M,500+,5.0 and up,39,2
Communication,1.3M,10+,4.4 and up,0,0
Personalization,3.5M,"50,000+",4.1 and up,820,4.7
Racing,51M,100+,4.4 and up,55,4.9
Maps & Navigation,2.7M,100+,4.0 and up,0,0
Travel & Local,7.6M,"10,000+",4.2 and up,118,3.9
Maps & Navigation,15M,100+,6.0 and up,0,0
Travel & Local,29M,"10,000+",4.2 and up,1572,3.7
Food & Drink,12M,"1,000+",4.4 and up,16,4.2
Travel & Local,2.9M,500+,4.4 and up,5,3.4
Tools,2.0M,50+,4.1 and up,6,5
Lifestyle,70M,"10,000+",4.1 and up,328,3.7
Books & Reference,11M,1+,4.2 and up,0,0
Social,24M,100+,5.0 and up,0,0
Medical,1.4M,10+,4.0.3 and up,0,0
Puzzle,16M,"10,000+",5.0 and up,211,4.4
Entertainment,20M,"500,000+",5.0 and up,736,3.8
Tools,2.4M,"10,000+",5.0 and up,35,4.2
Arcade,25M,100+,4.1 and up,11,4.6
Arcade,16M,"1,000+",4.0 and up,0,0
Entertainment,21M,100+,4.0.3 and up,0,0
Maps & Navigation,11M,"1,000+",2.1 and up,27,4.1
Auto & Vehicles,6.2M,"1,000+",4.1 and up,16,3.4
Lifestyle,36M,100+,5.0 and up,0,0
Travel & Local,7.6M,"10,000+",4.4 and up,67,3.4
Photography,6.2M,"5,000+",4.4 and up,21,2.5
Entertainment,6.1M,10+,4.1 and up,0,0
Maps & Navigation,2.6M,"50,000+",4.0 and up,420,2.3
Travel & Local,11M,"10,000+",4.1 and up,143,3.7
Health & Fitness,3.7M,"10,000+",4.1 and up,33,2.1
Education,15M,100+,4.1 and up,0,0
Health & Fitness,10M,1+,7.0 and up,0,0
Personalization,8.9M,100+,5.0 and up,0,0
Shopping,3.9M,"1,000+",4.0.3 and up,102,4.9
Travel & Local,30M,1+,4.1 and up,0,0
Personalization,21M,500+,4.1 and up,11,5
Arcade,26M,"1,000+",5.0 and up,8,5
Tools,4.9M,"50,000+",4.1 and up,420,2.7
Tools,4.3M,"1,000+",4.0.3 and up,20,4.3
Board,4.8M,10+,2.2 and up,0,0
Music & Audio,4.6M,100+,5.0 and up,0,0
Books & Reference,2.8M,"1,000+",4.1 and up,13,3.8
Sports,38M,"100,000+",2.1 and up,2781,4.4
Sports,7.6M,5+,4.4 and up,0,0
Beauty,5.1M,500+,5.0 and up,0,0
Business,8.9M,10+,4.1 and up,0,0
Health & Fitness,147M,10+,6.0 and up,0,0
Educational,33M,50+,4.4 and up,0,0
Finance,3.7M,"5,000+",2.1 and up,17,3.1
Tools,38M,"10,000+",4.4 and up,31,3.8
Books & Reference,16M,"10,000+",4.1 and up,30,4.7
Business,12M,100+,4.4 and up,0,0
Health & Fitness,2.2M,"1,000+",2.3 and up,0,0
